category,name,broad,price,feature,discount,link,new
厨房橱柜和前板,DOMSJÖ 德姆索 水槽单屉底柜,METOD 米多,¥ 910.00,,False,http://www.ikea.com/cn/zh/catalog/products/S09216581/,False
灶具,煤气灶,拉根,¥ 699.00,,True,http://www.ikea.com/cn/zh/catalog/products/50334954/,False
灶具,煤气灶,拉根,¥ 699.00,,True,http://www.ikea.com/cn/zh/catalog/products/50334954/,False
灶具,煤气灶,诺迪,"¥ 2,499.00",,False,http://www.ikea.com/cn/zh/catalog/products/50334954/,False
墙面储藏件,篮筐,RISATORP 瑞沙托,¥ 39.90,,False,http://www.ikea.com/cn/zh/catalog/products/70281619/,False
墙面储藏件,锅盖架,伯利德,¥ 69.00,,False,http://www.ikea.com/cn/zh/catalog/products/70281619/,False
墙面板,挡水板安装条,莱西克,¥ 129.00,,False,http://www.ikea.com/cn/zh/catalog/products/80335122/,False
米多操作台面,操作台面,宜伯肯,¥ 499.00,,False,http://www.ikea.com/cn/zh/catalog/products/40280659/,False
米多操作台面,操作台面,宜伯肯,¥ 399.00,,False,http://www.ikea.com/cn/zh/catalog/products/40280659/,False
米多操作台面,双面操作台,格斯卡,¥ 499.00,,False,http://www.ikea.com/cn/zh/catalog/products/40280659/,False
床罩,床罩和2个靠垫套,卡瑞特,¥ 299.00,,False,http://www.ikea.com/cn/zh/catalog/products/30328100/,False
床罩,床罩和靠垫套,卡瑞特,¥ 199.00,,False,http://www.ikea.com/cn/zh/catalog/products/30328100/,False
床罩,床罩和靠垫套,卡瑞特,¥ 199.00,,False,http://www.ikea.com/cn/zh/catalog/products/30328100/,False
标配厨房,厨房,KNOXHULT 诺克胡,"¥ 2,545.00",,False,http://www.ikea.com/cn/zh/catalog/products/S89202523/,False
标配厨房,厨房,KNOXHULT 诺克胡,"¥ 2,297.00",,False,http://www.ikea.com/cn/zh/catalog/products/S89202523/,False
米多厨房龙头和水槽,滤碗,GRUNDVATTNET 伦瓦特,¥ 9.90,带1个槽,False,http://www.ikea.com/cn/zh/catalog/products/S89158167/,False
米多厨房龙头和水槽,盒子,GRUNDVATTNET 伦瓦特,¥ 19.90,带1个槽,False,http://www.ikea.com/cn/zh/catalog/products/S89158167/,False
内配件,附盖干燥食品储存罐,TILLSLUTA 提苏塔,¥ 39.90,低,False,http://www.ikea.com/cn/zh/catalog/products/20271255/,False
内配件,附盖干燥食品储存罐,TILLSLUTA 提苏塔,¥ 49.00,低,False,http://www.ikea.com/cn/zh/catalog/products/20271255/,False
食品贮藏室,2段/搁/柜,伊娃,"¥ 1,660.00",,False,http://www.ikea.com/cn/zh/catalog/products/S09213592/,False
食品贮藏室,两段组合/搁板/抽屉,伊娃,"¥ 1,287.60",,False,http://www.ikea.com/cn/zh/catalog/products/S09213592/,False
顶灯,吸顶灯,丽舍瓦尔,¥ 69.00,,False,http://www.ikea.com/cn/zh/catalog/products/00325773/,True
顶灯,3头吸顶灯轨,勒纳普,¥ 249.00,,False,http://www.ikea.com/cn/zh/catalog/products/00325773/,False
橱柜和展示柜,玻璃门柜,法布利克,¥ 799.00,,False,http://www.ikea.com/cn/zh/catalog/products/40363174/,False
橱柜和展示柜,玻璃门柜,德托尔,¥ 399.00,,False,http://www.ikea.com/cn/zh/catalog/products/40363174/,False
拉手和拉钮,推进式开门器,UTRUSTA 乌斯塔,¥ 50.00,,False,http://www.ikea.com/cn/zh/catalog/products/30322886/,False
拉手和拉钮,把手,伯格汉姆,¥ 80.00,,False,http://www.ikea.com/cn/zh/catalog/products/30322886/,False
文件和多媒体储藏件,文件盒,希纳,¥ 39.90,,False,http://www.ikea.com/cn/zh/catalog/products/70367788/,False
文件和多媒体储藏件,信盘,多库门,¥ 39.90,,False,http://www.ikea.com/cn/zh/catalog/products/70367788/,False
儿童餐具,大杯,卡拉斯,¥ 9.90,,False,http://www.ikea.com/cn/zh/catalog/products/80300815/,False
儿童餐具,碗,卡拉斯,¥ 9.90,,False,http://www.ikea.com/cn/zh/catalog/products/80300815/,False
儿童餐具,碟,卡拉斯,¥ 9.90,,False,http://www.ikea.com/cn/zh/catalog/products/80300815/,False
儿童用品8-12,小猪存钱罐,GULLGRIS 古利斯,¥ 39.90,,False,http://www.ikea.com/cn/zh/catalog/products/00323533/,False
儿童用品8-12,小猪存钱罐,GULLGRIS 古利斯,¥ 39.90,,False,http://www.ikea.com/cn/zh/catalog/products/00323533/,False
儿童用品8-12,椅垫,IKEA PS 昂德巴,¥ 24.90,,False,http://www.ikea.com/cn/zh/catalog/products/00323533/,False
小型储物装置,床边挂袋,STICKAT 斯卡特,¥ 24.90,,False,http://www.ikea.com/cn/zh/catalog/products/20296294/,False
小型储物装置,床边挂袋,STICKAT 斯卡特,¥ 24.90,,False,http://www.ikea.com/cn/zh/catalog/products/20296294/,False
婴儿餐具,碗,斯玛卡,¥ 14.90,,False,http://www.ikea.com/cn/zh/catalog/products/60307224/,False
婴儿餐具,碟,斯玛卡,¥ 14.90,,False,http://www.ikea.com/cn/zh/catalog/products/60307224/,False
婴儿餐具,喂饭勺和婴儿勺,波利亚,¥ 9.90,,False,http://www.ikea.com/cn/zh/catalog/products/60307224/,False
婴儿餐具,杯,波利亚,¥ 9.90,,False,http://www.ikea.com/cn/zh/catalog/products/60307224/,False
儿童椅,书桌椅,阿甘,¥ 299.00,,False,http://www.ikea.com/cn/zh/catalog/products/50253537/,False
儿童椅,书桌椅,阿甘,¥ 299.00,,False,http://www.ikea.com/cn/zh/catalog/products/50253537/,False
儿童椅,书桌椅,阿甘,¥ 299.00,,False,http://www.ikea.com/cn/zh/catalog/products/50253537/,False
工具和安装件,卷尺,费克沙,¥ 9.90,大,False,http://www.ikea.com/cn/zh/catalog/products/20188483/,False
工具和安装件,工具17件套,费克沙,¥ 49.00,大,False,http://www.ikea.com/cn/zh/catalog/products/20188483/,False
厨房岛和推车,厨房推车,夫莱达,"¥ 1,299.00",,False,http://www.ikea.com/cn/zh/catalog/products/60334067/,False
厨房岛和推车,手推车,拉斯克,¥ 249.00,,False,http://www.ikea.com/cn/zh/catalog/products/60334067/,False
厨房岛和推车,手推车,拉斯克,¥ 249.00,,False,http://www.ikea.com/cn/zh/catalog/products/60334067/,False
厨房橱柜和前板,双玻璃门底柜,METOD 米多,"¥ 1,620.00",,False,http://www.ikea.com/cn/zh/catalog/products/S09216581/,False
厨房橱柜和前板,"底柜,带抽屉/门",METOD 米多,¥ 560.00,,False,http://www.ikea.com/cn/zh/catalog/products/S09216581/,False
灶具,煤气灶,诺迪,"¥ 2,499.00",,False,http://www.ikea.com/cn/zh/catalog/products/50334954/,False
灶具,煤气灶,达迪,"¥ 1,999.00",,False,http://www.ikea.com/cn/zh/catalog/products/50334954/,False
灶具,煤气灶,达迪,"¥ 1,999.00",,False,http://www.ikea.com/cn/zh/catalog/products/50334954/,False
墙面储藏件,墙搁板,加姆勒比,¥ 499.00,,False,http://www.ikea.com/cn/zh/catalog/products/70281619/,False
墙面储藏件,墙搁板,博西卡,¥ 199.00,,False,http://www.ikea.com/cn/zh/catalog/products/70281619/,False
米多操作台面,操作台面,芬蒂格,¥ 199.00,,True,http://www.ikea.com/cn/zh/catalog/products/40280659/,False
米多操作台面,操作台面,萨林,¥ 449.00,,False,http://www.ikea.com/cn/zh/catalog/products/40280659/,False
米多操作台面,操作台面,萨林,¥ 449.00,,False,http://www.ikea.com/cn/zh/catalog/products/40280659/,False
床罩,床罩和靠垫套,卡瑞特,¥ 199.00,,False,http://www.ikea.com/cn/zh/catalog/products/30328100/,False
床罩,床罩和靠垫套,卡瑞特,¥ 199.00,,False,http://www.ikea.com/cn/zh/catalog/products/30328100/,False
床罩,床罩和2个靠垫套,潘布拉,¥ 799.00,,False,http://www.ikea.com/cn/zh/catalog/products/30328100/,False
标配厨房,厨房,KNOXHULT 诺克胡,"¥ 2,195.00",,False,http://www.ikea.com/cn/zh/catalog/products/S89202523/,False
标配厨房,厨房,KNOXHULT 诺克胡,"¥ 2,297.00",,False,http://www.ikea.com/cn/zh/catalog/products/S89202523/,False
米多厨房龙头和水槽,嵌入式1 1/2水槽,HILLESJÖN 海勒森,¥ 549.00,带1个槽,False,http://www.ikea.com/cn/zh/catalog/products/S89158167/,False
米多厨房龙头和水槽,嵌入式1 1/2水槽,HILLESJÖN 海勒森,¥ 649.00,带1个槽,False,http://www.ikea.com/cn/zh/catalog/products/S89158167/,False
内配件,附盖干燥食品储存罐,TILLSLUTA 提苏塔,¥ 29.90,低,False,http://www.ikea.com/cn/zh/catalog/products/20271255/,False
内配件,附盖干燥食品储存罐,TILLSLUTA 提苏塔,¥ 89.00,低,False,http://www.ikea.com/cn/zh/catalog/products/20271255/,False
食品贮藏室,墙面挂条/搁板/挂钩,艾格特,¥ 430.00,,False,http://www.ikea.com/cn/zh/catalog/products/S09213592/,False
食品贮藏室,墙面挂条/搁架,艾格特,¥ 575.00,,False,http://www.ikea.com/cn/zh/catalog/products/S09213592/,False
食品贮藏室,墙面挂条/搁板/三角挂钩,艾格特,¥ 855.00,,False,http://www.ikea.com/cn/zh/catalog/products/S09213592/,False
被子,睡袋,IKEA PS 2017,¥ 299.00,,False,http://www.ikea.com/cn/zh/catalog/products/90339266/,False
浴室防滑垫,浴室地垫,卡肯,¥ 7.90,,True,http://www.ikea.com/cn/zh/catalog/products/10358310/,True
顶灯,吊灯,勒纳普,¥ 199.00,,False,http://www.ikea.com/cn/zh/catalog/products/00325773/,False
毛巾,小方巾,BOLMÅN 博蒙,¥ 9.90,,False,http://www.ikea.com/cn/zh/catalog/products/80389247/,False
床上用品,记忆海绵枕枕套,MÅNVIVA 目维瓦,¥ 29.90,,False,http://www.ikea.com/cn/zh/catalog/products/00337479/,False
地毯,平织地毯,IKEA PS 2014,¥ 799.00,,False,http://www.ikea.com/cn/zh/catalog/products/50264729/,False
食品储存与整理,水瓶,BEHÅLLARE 伯霍尔,¥ 19.90,,False,http://www.ikea.com/cn/zh/catalog/products/50342058/,False
浴室配件,储物盒带格,古德莫,¥ 179.00,,False,http://www.ikea.com/cn/zh/catalog/products/40177474/,False
橱柜和展示柜,玻璃门柜,MALSJÖ 马赫,"¥ 1,999.00",,False,http://www.ikea.com/cn/zh/catalog/products/40363174/,False
橱柜和展示柜,玻璃门柜,MALSJÖ 马赫,"¥ 2,999.00",,False,http://www.ikea.com/cn/zh/catalog/products/40363174/,False
